Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 0's token_index 346
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 1's token_index 279
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 2's token_index 513
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 3's token_index 89
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 4's token_index 146
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 5's token_index 485
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 6's token_index 263
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 7's token_index 411
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 8's token_index 449
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 9's token_index 95
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 10's token_index 91
Sat 27 May 2017 11:14:05 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 105818857570185216L, u'id_str': u'105818857570185216'}, u'timestamp_ms': u'1495854816406'}}
Sat 27 May 2017 11:14:07 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 105818310909767680L, u'id_str': u'105818310909767680'}, u'timestamp_ms': u'1495854819229'}}
Sat 27 May 2017 11:14:12 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 105815121242226689L, u'id_str': u'105815121242226689'}, u'timestamp_ms': u'1495854823893'}}
Sat 27 May 2017 11:14:18 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102941060749197312L, u'id_str': u'102941060749197312'}, u'timestamp_ms': u'1495854827472'}}
Sat 27 May 2017 11:14:21 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102939257882165248L, u'id_str': u'102939257882165248'}, u'timestamp_ms': u'1495854830341'}}
Sat 27 May 2017 11:14:25 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'5709522', u'user_id': 5709522, u'id': 813857502714478592L, u'id_str': u'813857502714478592'}, u'timestamp_ms': u'1495854833387'}}
Sat 27 May 2017 11:14:28 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102938088455684097L, u'id_str': u'102938088455684097'}, u'timestamp_ms': u'1495854836126'}}
Sat 27 May 2017 11:14:33 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102788826157678592L, u'id_str': u'102788826157678592'}, u'timestamp_ms': u'1495854838941'}}
Sat 27 May 2017 11:14:34 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'257871749', u'user_id': 257871749, u'id': 868303811462524928L, u'id_str': u'868303811462524928'}, u'timestamp_ms': u'1495854870463'}}
Sat 27 May 2017 11:14:37 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102485439776178176L, u'id_str': u'102485439776178176'}, u'timestamp_ms': u'1495854841841'}}
Sat 27 May 2017 11:14:44 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 102187151583748096L, u'id_str': u'102187151583748096'}, u'timestamp_ms': u'1495854846767'}}
Sat 27 May 2017 11:14:47 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 101738961155784704L, u'id_str': u'101738961155784704'}, u'timestamp_ms': u'1495854849656'}}
Sat 27 May 2017 11:14:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2625176466', u'user_id': 2625176466L, u'id': 868299263662477313L, u'id_str': u'868299263662477313'}, u'timestamp_ms': u'1495854875192'}}
Sat 27 May 2017 11:14:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 93507408021815296L, u'id_str': u'93507408021815296'}, u'timestamp_ms': u'1495854852436'}}
Sat 27 May 2017 11:14:51 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2625176466', u'user_id': 2625176466L, u'id': 868299289956569088L, u'id_str': u'868299289956569088'}, u'timestamp_ms': u'1495854876162'}}
Sat 27 May 2017 11:14:54 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2625176466', u'user_id': 2625176466L, u'id': 868299301000069120L, u'id_str': u'868299301000069120'}, u'timestamp_ms': u'1495854877653'}}
Sat 27 May 2017 11:14:55 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'911706234', u'user_id': 911706234, u'id': 868297770309955584L, u'id_str': u'868297770309955584'}, u'timestamp_ms': u'1495854891785'}}
Sat 27 May 2017 11:15:01 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'103772491', u'user_id': 103772491, u'id': 868294255592210434L, u'id_str': u'868294255592210434'}, u'timestamp_ms': u'1495854860897'}}
Sat 27 May 2017 11:15:07 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Read timed out.
Sat 27 May 2017 11:15:16 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 105409001155596289L, u'id_str': u'105409001155596289'}, u'timestamp_ms': u'1495854873280'}}
Sat 27 May 2017 11:15:16 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2885949389', u'user_id': 2885949389L, u'id': 868304302565199873L, u'id_str': u'868304302565199873'}, u'timestamp_ms': u'1495854873253'}}
Sat 27 May 2017 11:15:21 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'22399657', u'user_id': 22399657, u'id': 868300146722963456L, u'id_str': u'868300146722963456'}, u'timestamp_ms': u'1495854916009'}}
Sat 27 May 2017 11:15:23 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 103981432875134976L, u'id_str': u'103981432875134976'}, u'timestamp_ms': u'1495854878267'}}
Sat 27 May 2017 11:15:25 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'140235214', u'user_id': 140235214, u'id': 868303411799785472L, u'id_str': u'868303411799785472'}, u'timestamp_ms': u'1495854921846'}}
